2,Countries,"Under-5 mortality rate (deaths per 1,000 live births) 1990","Under-5 mortality rate (deaths per 1,000 live births) 2000","Under-5 mortality rate (deaths per 1,000 live births) 2018",,"Under-5 mortality rate by sex (deaths per 1,000 live births) 2018 male","Under-5 mortality rate by sex (deaths per 1,000 live births) 2018 female","Infant mortality rate (deaths per 1,000 live births) 1990","Infant mortality rate (deaths per 1,000 live births) 2018","Neonatal mortality rate (deaths per 1,000 live births) 1990","Neonatal mortality rate (deaths per 1,000 live births) 2000","Neonatal mortality rate (deaths per 1,000 live births) 2018","Probability of dying among children aged 5â14 (deaths per 1,000 children aged 5) 1990","Probability of dying among children aged 5-14 (deaths per 1,000 children aged 5) 2018","Annual number of under-5 deaths (thousands)
2019","Annual number of neonatal deaths (thousands)
2019","Neonatal deaths as proportion of all under-5 deaths         (%)
2019","Number of deaths among children aged 5-14 (thousands)
2019",Developed/developing
153,Saint Kitts and Nevis,31,23,12,3.7,13,11,25,10,19,15,8,5,2,0,0,63,0,0
154,Saint Lucia,22,18,17,0.4,18,15,19,15,12,11,12,4,2,0,0,75,0,0
155,Saint Vincent and the Grenadines,24,23,16,1.8,18,15,20,15,13,13,10,4,5,0,0,58,0,0
156,Samoa,30,21,16,1.6,17,14,25,14,16,11,8,6,4,0,0,53,0,0
157,San Marino,13,6,2,6.3,2,2,12,2,7,3,1,2,1,0,0,NaN,0,0
158,Sao Tome and Principe,108,85,31,5.5,34,28,69,24,26,23,14,20,8,0,0,45,0,0
159,Saudi Arabia,45,22,7,6.4,7,7,36,6,22,12,4,7,2,4,2,53,1,1
160,Senegal,139,131,44,6.1,48,39,71,32,40,38,21,37,13,23,11,48,6,0
161,Serbia,28,13,6,4.6,6,5,24,5,17,8,3,3,1,0,0,61,0,1
162,Seychelles,17,14,14,-0.3,16,13,14,12,11,9,9,4,3,0,0,61,0,0
163,Sierra Leone,263,234,105,4.4,111,99,156,78,53,51,33,53,21,26,8,32,4,0
164,Singapore,8,4,3,1.8,3,3,6,2,4,2,1,2,1,0,0,38,0,1
165,Slovakia,15,10,6,3.1,6,5,13,5,9,5,3,3,1,0,0,49,0,1
166,Slovenia,10,6,2,5.2,2,2,9,2,6,3,1,2,1,0,0,55,0,1
167,Solomon Islands,39,30,20,2.3,22,18,31,17,15,13,8,8,4,0,0,42,0,0
168,Somalia,179,172,122,1.9,127,115,108,77,45,44,38,38,24,73,24,32,11,0
169,South Africa,59,74,34,4.3,37,31,46,28,20,17,11,8,6,40,13,32,6,0
170,South Sudan,254,183,99,3.4,103,93,150,64,65,57,40,52,20,38,15,41,6,0
171,Spain,9,5,3,3.2,3,3,7,3,5,3,2,2,1,1,1,56,0,1
172,Sri Lanka,22,17,7,4.4,8,7,19,6,13,10,4,6,2,3,2,60,1,0
173,State of Palestine,44,30,20,2.2,22,18,36,17,22,16,11,6,3,3,2,54,0,0
174,Sudan,132,104,60,3,65,55,82,42,43,37,29,29,8,80,38,48,9,0
175,Suriname,48,34,19,3.3,21,17,41,17,23,18,10,7,3,0,0,53,0,0
176,Sweden,7,4,3,2.3,3,2,6,2,4,2,2,1,1,0,0,56,0,1
177,Switzerland,8,6,4,1.7,4,4,7,4,4,3,3,2,1,0,0,72,0,1
178,Syrian Arab Republic,37,23,17,1.9,17,15,30,14,17,12,9,9,12,7,4,51,4,0
179,Tajikistan,102,84,35,4.9,39,31,81,30,31,28,15,12,5,10,4,44,1,0
180,Thailand,37,22,9,4.9,10,8,30,8,20,12,5,9,5,7,4,55,4,0
181,Timor-Leste,174,108,46,4.8,50,42,131,39,55,37,20,27,8,2,1,45,0,0
182,Togo,145,120,70,3,75,64,90,47,43,36,25,37,21,18,6,36,4,0
183,Tokelau,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
184,Tonga,22,18,16,0.6,14,17,19,13,10,8,7,5,3,0,0,40,0,0
185,Trinidad and Tobago,30,29,18,2.5,20,17,27,16,20,18,12,4,2,0,0,63,0,0
186,Tunisia,55,30,17,3.2,18,15,43,15,29,20,11,7,3,3,2,67,1,0
187,Turkey,74,38,11,7.1,11,10,55,9,33,19,5,9,2,14,7,52,3,0
188,Turkmenistan,85,81,46,3.2,52,40,68,39,28,30,21,7,4,6,3,46,0,0
189,Turks and Caicos Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
190,Tuvalu,53,41,24,2.9,27,22,42,21,28,25,16,10,5,0,0,71,0,0
191,Uganda,185,148,46,6.4,51,42,109,34,39,32,20,32,15,74,32,44,19,0
192,Ukraine,19,18,9,4.1,10,8,17,7,12,11,5,4,2,4,2,58,1,0
193,United Arab Emirates,17,11,8,2.2,8,7,14,6,8,6,4,5,2,1,0,53,0,1
194,United Kingdom,9,7,4,2.4,5,4,8,4,4,4,3,2,1,3,2,60,1,1
195,United Republic of Tanzania,166,130,53,5,57,49,101,38,40,34,21,30,13,107,44,41,20,0
196,United States,11,8,7,1.4,7,6,9,6,6,5,4,2,1,25,14,54,6,1
197,Uruguay,23,17,8,4.5,8,7,20,6,12,8,5,3,2,0,0,60,0,0
198,Uzbekistan,72,63,21,6,24,18,60,19,31,29,12,6,3,15,8,54,2,0
199,Vanuatu,36,29,26,0.5,28,24,29,22,17,13,12,7,5,0,0,44,0,0
200,Venezuela (Bolivarian Republic of),30,22,25,-0.7,26,23,25,21,13,11,15,4,3,13,8,61,2,0
201,Viet Nam,51,30,21,2,24,17,37,16,24,15,11,12,3,33,17,51,4,0
202,Yemen,126,95,55,3,59,51,88,43,43,37,27,20,8,47,23,50,6,0
203,Zambia,186,162,58,5.7,63,53,111,40,37,35,23,30,12,36,15,42,6,0
204,Zimbabwe,80,105,46,4.5,51,42,52,34,24,23,21,14,13,21,9,45,5,0
205,,,,,,,,,,,,,,,,,,,
206,SUMMARY,,,,,,,,,,,,,,,,,,
207,East Asia and Pacific,57,40,15,5.4,16,14,43,12,27,20,8,10,3,462,230,50,103,
208,Europe and Central Asia,31,21,9,5,10,8,25,8,14,10,5,4,2,96,50,52,17,
209,Eastern Europe and Central Asia,46,36,13,5.7,14,11,37,11,21,17,6,6,2,78,39,51,13,
210,Western Europe,10,6,4,2.8,4,3,9,3,6,3,2,2,1,18,11,60,4,
211,Latin America and Caribbean,55,33,16,3.8,18,15,43,14,23,16,9,6,3,172,95,55,30,
212,Middle East and North Africa,65,42,22,3.7,23,20,50,18,28,21,12,10,4,220,122,56,37,
213,North America,11,8,6,1.4,7,6,9,5,6,5,3,2,1,27,15,55,6,
214,South Asia,130,94,42,4.5,43,41,92,35,59,47,26,20,6,"1,475",909,62,211,
215,Sub-Saharan Africa,180,153,78,3.8,83,72,107,53,46,41,28,40,18,"2,869","1,054",37,518,
216,Eastern and Southern Africa,164,136,57,4.8,62,52,101,40,43,38,24,39,13,"1,024",441,43,189,
217,West and Central Africa,197,170,97,3.1,103,90,115,64,48,44,31,40,23,"1,845",613,33,330,
218,Least developed countries,175,137,64,4.2,69,59,108,46,52,42,26,39,14,"1,992",821,41,371,
219,World,93,76,39,3.8,41,36,65,29,37,31,18,15,7,"5,322","2,476",47,923,
220,,,,,,,,,,,,,,,,,,,
